Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
innovative-fitness-products,Innovative fitness products,<p>High-quality fitness products for all your needs.</p>,SportsPro,Beauty,Beauty,"fitness products, beauty, sportspro",TRUE,Size,Medium,Color,White,,,8385-328,256,shopify,50,deny,manual,186.39,,TRUE,TRUE,812300253837,https://example.com/images/innovative-fitness-products.jpg,1,Innovative fitness products,FALSE,Innovative fitness products,Buy our innovative fitness products - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,91.99,,,active
deluxe-fitness-products,Deluxe fitness products,<p>High-quality fitness products for all your needs.</p>,EcoGoods,Home & Garden,Home & Garden,"fitness products, home & garden, ecogoods",TRUE,Size,Small,Color,Green,,,2017-349,866,shopify,2,deny,manual,20.52,,TRUE,TRUE,341322617047,https://example.com/images/deluxe-fitness-products.jpg,1,Deluxe fitness products,FALSE,Deluxe fitness products,Buy our deluxe fitness products - perfect for any home & garden enthusiast!,,,,,,,,,,,,,,,g,,48.36,,,active
deluxe-fitness-products,Deluxe fitness products,<p>High-quality fitness products for all your needs.</p>,EcoGoods,Beauty,Beauty,"fitness products, beauty, ecogoods",TRUE,Size,Small,Color,Blue,,,7863-938,551,shopify,5,deny,manual,172.42,,TRUE,TRUE,532948100019,https://example.com/images/deluxe-fitness-products.jpg,1,Deluxe fitness products,FALSE,Deluxe fitness products,Buy our deluxe fitness products - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,91.16,,,active
sleek-fitness-products,Sleek fitness products,<p>High-quality fitness products for all your needs.</p>,SportsPro,Electronics,Electronics,"fitness products, electronics, sportspro",TRUE,Size,Large,Color,White,,,4463-617,171,shopify,28,deny,manual,178.10,,TRUE,TRUE,194580980757,https://example.com/images/sleek-fitness-products.jpg,1,Sleek fitness products,FALSE,Sleek fitness products,Buy our sleek fitness products - perfect for any electronics enthusiast!,,,,,,,,,,,,,,,g,,19.18,,,active
premium-fitness-products,Premium fitness products,<p>High-quality fitness products for all your needs.</p>,TechCo,Fashion,Fashion,"fitness products, fashion, techco",TRUE,Size,Medium,Color,Blue,,,9624-604,958,shopify,18,deny,manual,98.38,,TRUE,TRUE,643683973051,https://example.com/images/premium-fitness-products.jpg,1,Premium fitness products,FALSE,Premium fitness products,Buy our premium fitness products - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,7.09,,,active
innovative-fitness-products,Innovative fitness products,<p>High-quality fitness products for all your needs.</p>,BeautyEssentials,Beauty,Beauty,"fitness products, beauty, beautyessentials",TRUE,Size,Small,Color,Red,,,6261-982,343,shopify,0,deny,manual,160.20,,TRUE,TRUE,798213566210,https://example.com/images/innovative-fitness-products.jpg,1,Innovative fitness products,FALSE,Innovative fitness products,Buy our innovative fitness products - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,58.78,,,active
premium-fitness-products,Premium fitness products,<p>High-quality fitness products for all your needs.</p>,TechCo,Sports & Outdoors,Sports & Outdoors,"fitness products, sports & outdoors, techco",TRUE,Size,Small,Color,White,,,3315-406,331,shopify,11,deny,manual,178.31,,TRUE,TRUE,831784363183,https://example.com/images/premium-fitness-products.jpg,1,Premium fitness products,FALSE,Premium fitness products,Buy our premium fitness products - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,43.29,,,active
deluxe-fitness-products,Deluxe fitness products,<p>High-quality fitness products for all your needs.</p>,BeautyEssentials,Electronics,Electronics,"fitness products, electronics, beautyessentials",TRUE,Size,Medium,Color,Green,,,8505-217,240,shopify,79,deny,manual,133.60,,TRUE,TRUE,468042378314,https://example.com/images/deluxe-fitness-products.jpg,1,Deluxe fitness products,FALSE,Deluxe fitness products,Buy our deluxe fitness products - perfect for any electronics enthusiast!,,,,,,,,,,,,,,,g,,33.32,,,active
deluxe-fitness-products,Deluxe fitness products,<p>High-quality fitness products for all your needs.</p>,SportsPro,Home & Garden,Home & Garden,"fitness products, home & garden, sportspro",TRUE,Size,Large,Color,White,,,6061-898,144,shopify,43,deny,manual,160.99,,TRUE,TRUE,853165385838,https://example.com/images/deluxe-fitness-products.jpg,1,Deluxe fitness products,FALSE,Deluxe fitness products,Buy our deluxe fitness products - perfect for any home & garden enthusiast!,,,,,,,,,,,,,,,g,,97.29,,,active
premium-fitness-products,Premium fitness products,<p>High-quality fitness products for all your needs.</p>,FashionHub,Fashion,Fashion,"fitness products, fashion, fashionhub",TRUE,Size,Large,Color,White,,,4283-170,568,shopify,4,deny,manual,47.24,,TRUE,TRUE,671188008538,https://example.com/images/premium-fitness-products.jpg,1,Premium fitness products,FALSE,Premium fitness products,Buy our premium fitness products - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,47.00,,,active
